cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2024-12-01,category,pom sh,8,any,revenue,5,0.0
purchase,2024-12-01,category,pom sh,8,any,gm,5,0.0
purchase,2024-12-01,category,pom sh,9,any,revenue,5,0.0
purchase,2024-12-01,category,pom sh,9,any,gm,5,0.0
purchase,2024-12-01,category,pom sh,0,same,revenue,5,125.885558582
purchase,2024-12-01,category,pom sh,0,same,gm,5,39.354768392482804
purchase,2024-12-01,category,pom sh,1,same,revenue,5,0.0
purchase,2024-12-01,category,pom sh,1,same,gm,5,0.0
purchase,2024-12-01,category,pom sh,2,same,revenue,5,59.400544960000005
purchase,2024-12-01,category,pom sh,2,same,gm,5,19.388337874944003
purchase,2024-12-01,category,pom sh,3,same,revenue,5,97.54768392000001
purchase,2024-12-01,category,pom sh,3,same,gm,5,31.839564031488003
purchase,2024-12-01,category,pom sh,4,same,revenue,5,135.69482288
purchase,2024-12-01,category,pom sh,4,same,gm,5,44.290790188032005
purchase,2024-12-01,category,pom sh,5,same,revenue,5,0.0
purchase,2024-12-01,category,pom sh,5,same,gm,5,0.0
purchase,2024-12-01,category,pom sh,6,same,revenue,5,0.0
purchase,2024-12-01,category,pom sh,6,same,gm,5,0.0
purchase,2024-12-01,category,pom sh,7,same,revenue,5,0.0
purchase,2024-12-01,category,pom sh,7,same,gm,5,0.0
purchase,2024-12-01,category,pom sh,8,same,revenue,5,0.0
purchase,2024-12-01,category,pom sh,8,same,gm,5,0.0
purchase,2024-12-01,category,pom sh,9,same,revenue,5,0.0
purchase,2024-12-01,category,pom sh,9,same,gm,5,0.0
purchase,2025-01-01,category,"otc hl, otc sk",0,any,revenue,1,236.5122616
purchase,2025-01-01,category,"otc hl, otc sk",0,any,gm,1,89.33068120632
purchase,2025-01-01,category,"otc hl, otc sk",1,any,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",1,any,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",2,any,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",2,any,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",3,any,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",3,any,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",4,any,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",4,any,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",5,any,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",5,any,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",6,any,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",6,any,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",7,any,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",7,any,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",8,any,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",8,any,gm,1,0.0
